ts,pair,state,score,mean,std,history_len,n_components,sharpe
1760494139,XBT/USD,0,-1.56882009e-01,-2.50003638e-03,1.59357749e-02,365,3,-1.56882009e-01
1760494141,ETH/USD,1,3.38929671e-01,7.84469626e-03,2.31454987e-02,365,3,3.38929671e-01
1760494143,XBT/USD,1,1.41603736e-01,5.91309356e-03,4.17580336e-02,365,3,1.41603736e-01
1760494146,ETH/USD,1,-2.20077838e-02,-4.85361174e-04,2.20540686e-02,365,3,-2.20077838e-02
1760494217,XBT/USD,0,-1.56882009e-01,-2.50003638e-03,1.59357749e-02,365,3,-1.56882009e-01
1760494218,ETH/USD,1,3.38929671e-01,7.84469626e-03,2.31454987e-02,365,3,3.38929671e-01
1760494221,XBT/USD,1,1.41603736e-01,5.91309356e-03,4.17580336e-02,365,3,1.41603736e-01
1760494224,ETH/USD,1,-2.20804418e-02,-4.86967767e-04,2.20542584e-02,365,3,-2.20804418e-02
1760494302,XBT/USD,0,-1.36966820e-01,-2.18116512e-03,1.59247701e-02,365,3,-1.36966820e-01
1760494303,ETH/USD,1,3.38929671e-01,7.84469626e-03,2.31454987e-02,365,3,3.38929671e-01
1760494306,XBT/USD,1,1.41603736e-01,5.91309356e-03,4.17580336e-02,365,3,1.41603736e-01
1760494308,ETH/USD,1,-2.20891585e-02,-4.87160558e-04,2.20542832e-02,365,3,-2.20891585e-02
1760495856,XBT/USD,2,-2.48798124e-02,-4.54890901e-04,1.82835342e-02,365,3,-2.48798124e-02
1760495858,ETH/USD,1,3.38929671e-01,7.84469626e-03,2.31454987e-02,365,3,3.38929671e-01
1760495861,XBT/USD,1,1.49518350e-01,6.35937495e-03,4.25324045e-02,365,3,1.49518350e-01
1760495863,ETH/USD,1,-2.13778864e-02,-4.71461847e-04,2.20537165e-02,365,3,-2.13778864e-02
1760500802,XBT/USD,0,7.52726318e-02,1.21837320e-03,1.61861379e-02,365,3,7.52726318e-02
1760500804,XBT/USD,1,1.49518350e-01,6.35937495e-03,4.25324045e-02,365,3,1.49518350e-01
1760500806,ETH/USD,1,3.52663838e-01,8.05580272e-03,2.28427240e-02,365,3,3.52663838e-01
1760500808,ETH/USD,1,-2.32350770e-02,-5.12599816e-04,2.20614640e-02,365,3,-2.32350770e-02
1760561846,XBT/USD,2,2.26691812e-01,3.16677858e-03,1.39695323e-02,365,3,2.26691812e-01
1760561849,ETH/USD,0,4.10812955e-01,9.91077297e-03,2.41247820e-02,365,3,4.10812955e-01
1760561851,XBT/USD,1,1.56319848e-01,6.67833018e-03,4.27222151e-02,365,3,1.56319848e-01
1760561853,ETH/USD,1,-1.58649379e-02,-3.57517929e-04,2.25350979e-02,365,3,-1.58649379e-02
1760562412,XBT/USD,0,2.01824432e-01,1.59450467e-04,7.90045416e-04,20,3,2.01824432e-01
1760562412,ETH/USD,0,5.09788786e-01,4.07722857e-04,7.99787810e-04,20,3,5.09788786e-01
1760562412,LTC/USD,0,-3.33187726e-01,-3.00456115e-04,9.01762253e-04,20,3,-3.33187726e-01
1760562412,XRP/USD,0,3.22480988e-01,3.69980091e-04,1.14729272e-03,20,3,3.22480988e-01
1760562412,XMR/USD,0,-5.03607751e-01,-4.48842619e-04,8.91254389e-04,20,3,-5.03607751e-01
1760562412,BCH/USD,0,3.54446491e-01,3.51484485e-04,9.91643290e-04,20,3,3.54446491e-01
1760562412,ADA/USD,0,4.59110311e-01,4.40666841e-04,9.59827803e-04,20,3,4.59110311e-01
1760562412,DOT/USD,0,4.48466023e-01,4.15495925e-04,9.26482506e-04,20,3,4.48466023e-01
1760562412,LINK/USD,0,9.56341419e-01,8.30579277e-04,8.68496607e-04,20,3,9.56341419e-01
1760562412,SOL/USD,0,-1.64876585e-01,-1.08654160e-04,6.59002974e-04,20,3,-1.64876585e-01
1760562412,UNI/USD,0,-5.22171718e-01,-3.53515976e-04,6.77010959e-04,20,3,-5.22171718e-01
1760562412,AAVE/USD,0,2.33900670e-01,2.75460150e-04,1.17768004e-03,20,3,2.33900670e-01
1760562412,MKR/USD,0,-7.30577260e-01,-3.17655153e-04,4.34800220e-04,20,3,-7.30577260e-01
1760562412,COMP/USD,0,4.52264015e-01,3.97270164e-04,8.78403213e-04,20,3,4.52264015e-01
1760562412,SUSHI/USD,0,-6.41550053e-01,-2.71236681e-04,4.22783351e-04,20,3,-6.41550053e-01
1760562412,ALGO/USD,0,4.03330051e-01,2.85211209e-04,7.07140983e-04,20,3,4.03330051e-01
1760562412,ATOM/USD,0,1.01998516e+00,6.27826933e-04,6.15525556e-04,20,3,1.01998516e+00
1760562412,FIL/USD,0,-2.42297646e-01,-2.58807518e-04,1.06813880e-03,20,3,-2.42297646e-01
1760562412,TRX/USD,0,4.19478151e-02,3.61059020e-05,8.60733795e-04,20,3,4.19478151e-02
1760562412,EOS/USD,0,-1.29574437e-01,-1.32493304e-04,1.02252657e-03,20,3,-1.29574437e-01
1760562412,XTZ/USD,0,-8.68175786e-02,-7.01302902e-05,8.07789060e-04,20,3,-8.68175786e-02
1760562624,XBT/USD,0,5.80862526e-02,5.22020140e-05,8.98698258e-04,20,3,5.80862526e-02
1760562624,ETH/USD,0,-3.13575467e-01,-2.86016310e-04,9.12113160e-04,20,3,-3.13575467e-01
1760562624,LTC/USD,0,-2.80730742e-01,-2.61998080e-04,9.33271782e-04,20,3,-2.80730742e-01
1760562624,XRP/USD,0,6.73361455e-02,5.57856899e-05,8.28465744e-04,20,3,6.73361455e-02
1760562624,XMR/USD,0,-1.30123878e-01,-1.70091058e-04,1.30714717e-03,20,3,-1.30123878e-01
1760562624,BCH/USD,0,3.42305276e-01,2.55849855e-04,7.47431820e-04,20,3,3.42305276e-01
1760562624,ADA/USD,0,5.10448186e-01,6.21641054e-04,1.21783380e-03,20,3,5.10448186e-01
1760562624,DOT/USD,0,1.18745474e-01,1.01476761e-04,8.54573709e-04,20,3,1.18745474e-01
1760562624,LINK/USD,0,-4.03503296e-01,-3.09444481e-04,7.66894556e-04,20,3,-4.03503296e-01
1760562624,SOL/USD,0,-3.55380432e-01,-4.10413419e-04,1.15485655e-03,20,3,-3.55380432e-01
1760562624,UNI/USD,0,-1.05008884e+00,-7.50204358e-04,7.14419891e-04,20,3,-1.05008884e+00
1760562624,AAVE/USD,0,-3.51664022e-02,-4.13992568e-05,1.17723890e-03,20,3,-3.51664022e-02
1760562624,MKR/USD,0,1.93087207e-01,1.49060888e-04,7.71987388e-04,20,3,1.93087207e-01
