ts,pair,state,score,mean,std,history_len,n_components,sharpe
1760318309,XBT/USD,1,1.67286150e-01,3.03002451e-03,1.81128235e-02,365,3,
1760318315,ETH/USD,1,3.65566999e-01,8.80198486e-03,2.40776243e-02,365,3,
1760318319,LTC/USD,0,2.92161000e-02,7.68977923e-04,2.63203481e-02,365,3,
1760318321,XRP/USD,1,1.53834709e-01,4.00372393e-03,2.60261416e-02,365,3,
1760318323,XMR/USD,0,-1.02405595e-01,-1.97547746e-03,1.92907180e-02,365,3,
1760318326,BCH/USD,1,-1.31034291e-01,-3.29883074e-03,2.51753240e-02,365,3,
1760318327,ADA/USD,1,1.67458089e-01,6.25131999e-03,3.73306541e-02,365,3,
1760318331,DOT/USD,2,4.79044808e-01,1.58548498e-02,3.30967991e-02,365,3,
1760318333,LINK/USD,2,6.53494032e-01,2.86452625e-02,4.38340078e-02,365,3,
1760318336,SOL/USD,0,-4.13128831e-03,-1.55136765e-04,3.75516674e-02,365,3,
1760318338,UNI/USD,1,8.21814420e-02,2.48879387e-03,3.02841348e-02,365,3,
1760318338,AAVE/USD,1,8.54247613e-02,4.12770958e-03,4.83198258e-02,365,3,
1760318341,COMP/USD,0,-1.87646949e-02,-5.40918334e-04,2.88263858e-02,365,3,
1760318345,SUSHI/USD,0,1.39036289e-01,5.41719554e-03,3.89624577e-02,365,3,
1760318346,ALGO/USD,2,-6.71575383e-02,-2.64120234e-03,3.93284567e-02,365,3,
1760318347,ATOM/USD,2,1.00422658e-01,3.23581888e-03,3.22220001e-02,365,3,
1760318349,FIL/USD,2,4.08223007e-02,1.46704604e-03,3.59373680e-02,365,3,
1760318350,TRX/USD,1,2.51616755e-01,4.34391980e-03,1.72640324e-02,365,3,
1760318352,XTZ/USD,0,-1.27376900e-01,-3.86806212e-03,3.03670611e-02,365,3,
1760318700,XBT/USD,1,1.67286150e-01,3.03002451e-03,1.81128235e-02,365,3,1.67286150e-01
1760318706,ETH/USD,1,3.65566999e-01,8.80198486e-03,2.40776243e-02,365,3,3.65566999e-01
1760318709,LTC/USD,0,1.06840225e-01,2.87160602e-03,2.68775737e-02,365,3,1.06840225e-01
1760318712,XRP/USD,1,8.81015181e-02,2.38422370e-03,2.70622317e-02,365,3,8.81015181e-02
1760318714,XMR/USD,0,-1.02405595e-01,-1.97547746e-03,1.92907180e-02,365,3,-1.02405595e-01
1760318716,BCH/USD,1,-1.31034291e-01,-3.29883074e-03,2.51753240e-02,365,3,-1.31034291e-01
1760318717,ADA/USD,1,1.67458089e-01,6.25131999e-03,3.73306541e-02,365,3,1.67458089e-01
1760318718,DOT/USD,0,3.28441869e-01,1.17766347e-02,3.58560702e-02,365,3,3.28441869e-01
1760318720,LINK/USD,2,6.53494032e-01,2.86452625e-02,4.38340078e-02,365,3,6.53494032e-01
1760318727,SOL/USD,1,-4.13128831e-03,-1.55136765e-04,3.75516674e-02,365,3,-4.13128831e-03
1760318729,UNI/USD,1,8.61827410e-02,2.60500574e-03,3.02265362e-02,365,3,8.61827410e-02
1760318729,AAVE/USD,1,8.54247613e-02,4.12770958e-03,4.83198258e-02,365,3,8.54247613e-02
1760318732,COMP/USD,0,-1.87646949e-02,-5.40918334e-04,2.88263858e-02,365,3,-1.87646949e-02
1760318735,SUSHI/USD,0,1.39036289e-01,5.41719554e-03,3.89624577e-02,365,3,1.39036289e-01
1760318736,ALGO/USD,2,-6.96631147e-02,-2.72348652e-03,3.90951013e-02,365,3,-6.96631147e-02
